Filename,BT_easiness,Google WC,Inflected_Tokens,Derivational_Tokens,Tokens_w_Prefixes,Tokens_w_Affixes,Compounds,number_prefixes_per_cw,number_roots_per_cw,number_suffixes_per_cw,number_affixes_per_cw,num_morphemes_per_lemma,num_morphemes_per_cw,prefix_family_size_per_cw,root_family_size_per_cw,suffix_family_size_per_cw,affix_family_size_per_cw,perc_more_freq_words_morpho_family_prefix_per_cw,prefix_freq_per_cw,prefix_log_freq_per_cw,perc_more_freq_words_morpho_family_root,root_freq,root_log_freq,perc_more_freq_words_morpho_family_suffix_per_cw,suffix_freq_per_cw,suffix_log_freq_per_cw,perc_more_freq_words_morpho_family_affix_per_cw,affix_freq_per_cw,affix_log_freq_per_cw,prefix_in_hapax_per_cw,hapax_in_prefix_per_cw,suffix_in_hapax_per_cw,hapax_in_suffix_per_cw,affix_in_hapax_per_cw,hapax_in_affix_per_cw,prefix_len_per_cw,suffix_len_per_cw,affix_len_per_cw,mean_subset_inflectional_variety_10,inflectional_TTR_10,inflectional_MCI_10,mean_subset_derivational_variety_10,derivational_TTR_10,derivational_MCI_10
413.txt,-2.145248365,158,0.261538462,0.230769231,0.046153846,0.2,0.015384615,0.046153846,0.846153846,0.215384615,0.261538462,1.107692308,1.369230769,20.06153846,11.24615385,331.3692308,351.4307692,0.362672238,50346.96923,0.271269321,5.597772971,233645.9231,4.191191208,3.62871884,528433.8923,1.339985289,3.991391078,578780.8615,1.61125461,1.54E-06,0.000147358,1.54E-05,0.003351198,1.69E-05,0.003498556,0.092307692,0.492307692,0.584615385,3,0.228571429,-0.142857143,2.285714286,0.833333333,0.469387755
414.txt,-1.400318025,189,0.340659341,0.208791209,0.065934066,0.142857143,0.010989011,0.065934066,0.967032967,0.153846154,0.21978022,1.186813187,1.527472527,19.41758242,13.61538462,213.1428571,232.5604396,1.495459906,48311.31868,0.379236133,5.521514951,106287.2637,4.471230557,1.397789604,472645,0.961221978,2.89324951,520956.3187,1.34045811,1.88E-06,0.000186744,5.45E-06,0.001903087,7.33E-06,0.00208983,0.164835165,0.428571429,0.593406593,2.9,0.19,-0.61,1.9,0.683333333,0.19
415.txt,-0.495298635,198,0.402597403,0.207792208,0.038961039,0.181818182,0.012987013,0.038961039,1,0.207792208,0.246753247,1.246753247,1.649350649,13.2987013,17.05194805,329.2077922,342.5064935,0.328353221,53390.14286,0.235524269,8.168880927,188418.7273,4.868236899,2.7000191,604553.0779,1.29795664,3.028372321,657943.2208,1.533480909,1.14E-06,0.000130412,1.10E-05,0.003127878,1.22E-05,0.00325829,0.090909091,0.545454545,0.636363636,3.125,0.217857143,-0.359375,2.125,0.65625,0.765625
418.txt,0.245805709,181,0.4,0.04,0,0.04,0.04,0,0.96,0.04,0.04,1,1.4,0,15.30666667,35.76,35.76,0,0,0,2.571802947,163696.1733,4.548228963,0.0101945,66042.54667,0.240732005,0.0101945,66042.54667,0.240732005,0,0,7.64E-07,0.000405788,7.64E-07,0.000405788,0,0.093333333,0.093333333,3,0.2125,-0.625,0.375,0.375,-0.828125
420.txt,-0.188185864,171,0.411764706,0.029411765,0,0.029411765,0.014705882,0,0.970588235,0.029411765,0.029411765,1,1.411764706,0,12.70588235,9.470588235,9.470588235,0,0,0,1.764705882,210778.8088,4.702094451,0.629140698,31601.10294,0.176674479,0.629140698,31601.10294,0.176674479,0,0,5.71E-07,8.41E-05,5.71E-07,8.41E-05,0,0.102941176,0.102941176,3.428571429,0.246428571,-0.081632653,0.285714286,0.285714286,-0.673469388
421.txt,-1.28603909,177,0.426229508,0.163934426,0.049180328,0.131147541,0.016393443,0.049180328,0.93442623,0.131147541,0.180327869,1.114754098,1.540983607,24.83606557,12.75409836,141.1639344,166,1.136041833,85062.16393,0.30334581,6.497549399,158276.9016,4.489850519,1.383740981,284838.2623,0.786429317,2.519782813,369900.4262,1.089775127,1.03E-06,0.000182346,4.98E-06,0.001278957,6.01E-06,0.001461303,0.098360656,0.360655738,0.459016393,3.285714286,0.228571429,0.040816327,1.571428571,0.571428571,0.795918367
422.txt,-0.617733261,177,0.359375,0.125,0.015625,0.109375,0.015625,0.015625,1.015625,0.109375,0.125,1.140625,1.5,1.671875,15.71875,105.84375,107.515625,0.692806604,3359.59375,0.083319793,1.920714009,138682.75,4.727871992,0.093020193,203516.9063,0.670868538,0.785826796,206876.5,0.754188331,7.27E-07,2.41E-05,2.35E-06,0.00095348,3.08E-06,0.000977619,0.046875,0.234375,0.28125,3.285714286,0.271428571,0.326530612,1.142857143,0.714285714,0.020408163
425.txt,-1.126247781,180,0.344827586,0.189655172,0.017241379,0.189655172,0.034482759,0.017241379,1,0.189655172,0.206896552,1.206896552,1.551724138,2.448275862,11.46551724,204.3965517,206.8448276,0.440205429,10017.51724,0.099382553,2.622066068,229407.3276,4.905611793,1.499004578,396289.7759,1.158386628,1.939210008,406307.2931,1.257769181,3.26E-07,2.93E-05,5.53E-06,0.001837873,5.86E-06,0.001867172,0.034482759,0.465517241,0.5,2.833333333,0.1875,-0.194444444,2,0.833333333,0.666666667
426.txt,-1.009999064,176,0.347826087,0.072463768,0,0.072463768,0.014492754,0,0.913043478,0.086956522,0.086956522,1,1.347826087,0,9.579710145,86.13043478,86.13043478,0,0,0,7.250925819,151663.1739,4.27478685,0.902708535,149220.2029,0.516243901,0.902708535,149220.2029,0.516243901,0,0,2.49E-06,0.000855281,2.49E-06,0.000855281,0,0.188405797,0.188405797,2.857142857,0.188888889,-0.163265306,0.857142857,0.571428571,-0.306122449
428.txt,0.281178362,155,0.372881356,0.06779661,0,0.06779661,0.016949153,0,0.93220339,0.06779661,0.06779661,1,1.372881356,0,20.40677966,64.6440678,64.6440678,0,0,0,2.118644068,181030.8305,4.529506684,0.143096385,135377.8644,0.419519552,0.143096385,135377.8644,0.419519552,0,0,1.56E-06,0.00058653,1.56E-06,0.00058653,0,0.186440678,0.186440678,3.333333333,0.238888889,0.222222222,0.666666667,0.666666667,-0.222222222
429.txt,-0.267515717,165,0.445783133,0.168674699,0.048192771,0.120481928,0.096385542,0.048192771,1.060240964,0.13253012,0.180722892,1.240963855,1.686746988,15.27710843,18.75903614,140.373494,155.6506024,0.886876248,26484.57831,0.255218296,9.070548121,174796.5663,5.106271262,2.222468658,314312.1807,0.810429563,3.109344906,340796.759,1.065647859,1.27E-06,0.000120984,2.85E-06,0.001258239,4.12E-06,0.001379223,0.084337349,0.337349398,0.421686747,3.444444444,0.27037037,-0.50617284,1.666666667,0.888888889,0.407407407
431.txt,-1.020526423,147,0.161290323,0.258064516,0.096774194,0.225806452,0.032258065,0.096774194,0.919354839,0.274193548,0.370967742,1.290322581,1.451612903,35.48387097,11.64516129,425.1290323,460.6129032,0.707043171,144321.4516,0.569655299,5.521695213,152237.0645,4.451128523,2.382389394,817227.5645,1.7497215,3.089432565,961549.0161,2.319376799,1.40E-06,0.000276583,7.74E-06,0.003610531,9.14E-06,0.003887114,0.209677419,0.693548387,0.903225806,2,0.157142857,-0.571428571,3,0.662698413,0.857142857
432.txt,-0.869773875,154,0.291139241,0.17721519,0.075949367,0.139240506,0.012658228,0.075949367,0.949367089,0.139240506,0.215189873,1.164556962,1.455696203,29.98734177,11.51898734,181.835443,211.8227848,0.774062549,48075.56962,0.421520293,4.337616797,164246.7722,4.562911922,0.688540797,308846.8608,0.845801058,1.462603345,356922.4304,1.267321351,7.14E-06,0.000279643,4.39E-06,0.001877321,1.15E-05,0.002156964,0.126582278,0.329113924,0.455696203,2.75,0.179166667,-0.40625,2.125,1,0.640625
433.txt,0.278203141,182,0.303030303,0.242424242,0,0.242424242,0,0,0.954545455,0.242424242,0.242424242,1.196969697,1.5,0,9.787878788,99.10606061,99.10606061,0,0,0,10.95079584,88903.15152,4.310966304,4.091688243,190455.6818,1.237715895,4.091688243,190455.6818,1.237715895,0,0,1.99E-05,0.000992468,1.99E-05,0.000992468,0,0.590909091,0.590909091,2.571428571,0.176190476,-0.204081633,2.142857143,0.964285714,-0.265306122
434.txt,-1.566220068,196,0.317647059,0.105882353,0.023529412,0.082352941,0.011764706,0.023529412,0.976470588,0.082352941,0.105882353,1.082352941,1.4,15.25882353,12.95294118,131.5058824,146.7647059,0.176868075,31931.8,0.141986031,4.416373248,125213.3412,4.408392527,1.008731576,234370.0706,0.521575342,1.185599651,266301.8706,0.663561373,1.01E-06,0.000125408,2.93E-06,0.001364946,3.94E-06,0.001490354,0.047058824,0.2,0.247058824,2.444444444,0.155555556,-0.617283951,1,0.777777778,-0.111111111
435.txt,-2.386484836,161,0.419354839,0.35483871,0.096774194,0.322580645,0,0.096774194,0.983870968,0.35483871,0.451612903,1.435483871,1.85483871,35.32258065,10.9516129,490.2419355,525.5645161,1.605961483,161701.871,0.596444329,8.668105047,118547.3226,4.660118773,3.448362985,1184572.742,2.226236208,5.054324468,1346274.613,2.822680537,2.03E-06,0.000333893,1.78E-05,0.003984292,1.98E-05,0.004318185,0.193548387,0.967741935,1.161290323,3.428571429,0.242857143,0.06122449,3.571428571,0.918650794,1.510204082
436.txt,-1.483887001,169,0.260869565,0.231884058,0.043478261,0.202898551,0.043478261,0.043478261,0.985507246,0.231884058,0.275362319,1.260869565,1.52173913,7.144927536,16.24637681,272.2898551,279.4347826,0.436382314,24175.43478,0.23873877,6.798381445,152551.6812,4.560343137,3.766428853,565047.6087,1.393715532,4.202811167,589223.0435,1.632454302,3.46E-07,4.93E-05,5.86E-06,0.002382248,6.21E-06,0.002431505,0.115942029,0.579710145,0.695652174,2.571428571,0.16031746,-0.346938776,2.571428571,0.964285714,1.081632653
437.txt,0.633138503,155,0.203389831,0.186440678,0.033898305,0.169491525,0,0.033898305,0.898305085,0.169491525,0.203389831,1.101694915,1.305084746,13.47457627,11.15254237,259.4067797,272.8813559,0.235345288,44546.83051,0.20327644,3.876994747,150755.7966,4.409167477,0.990182625,560100.9153,1.082001882,1.225527914,604647.7458,1.285278323,1.36E-06,0.000157106,4.93E-06,0.002312081,6.29E-06,0.002469187,0.084745763,0.491525424,0.576271186,3,0.201851852,0.166666667,1.833333333,0.791666667,0.305555556
438.txt,-0.596383149,147,0.206896552,0.137931034,0.017241379,0.137931034,0.034482759,0.017241379,1.034482759,0.137931034,0.155172414,1.189655172,1.396551724,11.34482759,15.10344828,158.6206897,169.9655172,0.031491104,10530.10345,0.099756218,5.672603716,169488.1207,5.008259312,0.448184002,346278.8276,0.851392268,0.479675106,356808.931,0.951148486,7.34E-07,6.93E-05,3.76E-06,0.001398382,4.49E-06,0.001467635,0.034482759,0.379310345,0.413793103,2.333333333,0.133333333,-0.444444444,1.5,0.833333333,0.416666667
439.txt,-1.394485086,140,0.389830508,0.237288136,0.050847458,0.203389831,0.050847458,0.050847458,1.033898305,0.220338983,0.271186441,1.305084746,1.694915254,25.6779661,12.18644068,380.0847458,405.7627119,0.740387237,87945.62712,0.313628719,8.915999086,189142.3898,4.786729805,1.928897872,684734.4746,1.399642427,2.669285109,772680.1017,1.713271145,1.07E-06,0.000188528,9.39E-06,0.003825539,1.05E-05,0.004014066,0.101694915,0.525423729,0.627118644,4.166666667,0.322222222,0.361111111,2.5,0.958333333,1.083333333
440.txt,-0.146083426,172,0.338461538,0.215384615,0.107692308,0.138461538,0.015384615,0.107692308,0.969230769,0.153846154,0.261538462,1.230769231,1.569230769,24.92307692,10.75384615,241.2,266.1230769,1.445364466,74321.03077,0.606236631,6.586834924,175761.9538,4.590802396,2.336789823,545340.8,0.989390796,3.782154289,619661.8308,1.595627427,4.30E-06,0.000263818,4.44E-06,0.002115295,8.74E-06,0.002379113,0.338461538,0.353846154,0.692307692,3.142857143,0.242857143,-0.265306122,2.428571429,0.857142857,0.918367347
441.txt,-0.80376779,187,0.397590361,0.108433735,0.036144578,0.084337349,0,0.036144578,0.975903614,0.084337349,0.120481928,1.096385542,1.493975904,2.445783133,12.31325301,83.1686747,85.61445783,0.215146299,3075.698795,0.175479279,2.527353772,105506.0964,4.439088774,0.906584894,114031.5663,0.490812795,1.121731194,117107.2651,0.666292073,2.30E-06,3.54E-05,5.40E-06,0.000891563,7.70E-06,0.000926927,0.096385542,0.228915663,0.325301205,3.444444444,0.244444444,-0.283950617,1.111111111,0.555555556,0.012345679
442.txt,-1.314628766,174,0.25,0.117647059,0.014705882,0.102941176,0.044117647,0.014705882,0.985294118,0.117647059,0.132352941,1.117647059,1.367647059,0.926470588,11.60294118,92.79411765,93.72058824,1.138519924,780.2058824,0.069481149,7.447308816,191298.2206,4.758732539,1.208889917,130755.3382,0.682251578,2.347409842,131535.5441,0.751732727,1.66E-06,1.36E-05,1.23E-05,0.000892849,1.39E-05,0.00090648,0.058823529,0.382352941,0.441176471,2.571428571,0.164285714,-0.489795918,1.142857143,0.5,0.163265306
443.txt,-1.413743883,167,0.343283582,0.223880597,0.089552239,0.149253731,0.029850746,0.089552239,1.014925373,0.149253731,0.23880597,1.253731343,1.597014925,35.67164179,15.80597015,146.8507463,182.5223881,0.720929852,150724.0746,0.541051864,7.042647296,196641.0597,4.648375867,3.470393491,353000.6269,0.908868007,4.191323343,503724.7015,1.44991987,6.85E-06,0.000382761,1.26E-05,0.001210539,1.94E-05,0.0015933,0.164179104,0.447761194,0.611940299,2.857142857,0.191836735,-0.306122449,2.142857143,0.964285714,0.448979592
444.txt,-0.479830828,170,0.373134328,0.014925373,0,0.014925373,0.044776119,0,0.970149254,0.014925373,0.014925373,0.985074627,1.358208955,0,13.44776119,43.25373134,43.25373134,0,0,0,3.562593084,185204.3881,4.733094569,0.221021231,57582.07463,0.098303912,0.221021231,57582.07463,0.098303912,0,0,6.69E-07,0.000398902,6.69E-07,0.000398902,0,0.029850746,0.029850746,3.571428571,0.269387755,0.081632653,0.142857143,0.142857143,-0.836734694
445.txt,0.404633391,164,0.296875,0.03125,0.015625,0.015625,0.015625,0.015625,0.984375,0.015625,0.03125,1.015625,1.3125,1.4375,15.875,45.28125,46.71875,1.013049451,1232.625,0.076515796,3.003897145,238822.9219,4.90133921,0.080902658,60281.23438,0.102911908,1.093952109,61513.85938,0.179427704,7.92E-07,9.66E-06,7.00E-07,0.0004176,1.49E-06,0.000427256,0.078125,0.03125,0.109375,2.714285714,0.192857143,-0.326530612,0.285714286,0.285714286,-0.673469388
446.txt,-0.952123031,159,0.463768116,0.057971014,0,0.057971014,0.014492754,0,0.869565217,0.057971014,0.057971014,0.927536232,1.391304348,0,9.724637681,80.08695652,80.08695652,0,0,0,3.194957852,254796.6377,4.316801491,0.794802988,141993.4058,0.361116434,0.794802988,141993.4058,0.361116434,0,0,1.57E-06,0.00079259,1.57E-06,0.00079259,0,0.101449275,0.101449275,3.714285714,0.274603175,0.244897959,0.571428571,0.428571429,-0.346938776
447.txt,-1.053897658,196,0.211764706,0.176470588,0.035294118,0.141176471,0.047058824,0.035294118,0.952941176,0.141176471,0.176470588,1.129411765,1.341176471,7.988235294,11.64705882,162.7294118,170.7176471,0.466489886,35597.30588,0.203162287,7.569320559,249312.4471,4.782255261,0.907882706,356559.2353,0.879025115,1.374372592,392156.5412,1.082187402,9.96E-07,8.72E-05,3.81E-06,0.001501259,4.80E-06,0.001588499,0.082352941,0.352941176,0.435294118,2.888888889,0.211111111,-0.567901235,1.444444444,0.712962963,-0.061728395
448.txt,0.022597727,146,0.25,0.15625,0.015625,0.140625,0,0.015625,0.953125,0.140625,0.15625,1.109375,1.359375,1.859375,16.03125,127.609375,129.46875,0.238347458,18852.84375,0.095024326,4.125744048,172108.4844,4.575153191,1.590343112,453098.8281,0.889232681,1.82869057,471951.6719,0.984257007,3.89E-08,7.24E-06,1.46E-06,0.000680712,1.50E-06,0.000687954,0.046875,0.46875,0.515625,2.714285714,0.171428571,-0.183673469,1.285714286,0.80952381,-0.244897959
449.txt,-1.258699054,193,0.405797101,0.115942029,0.028985507,0.101449275,0,0.028985507,0.942028986,0.101449275,0.130434783,1.072463768,1.47826087,2.985507246,11.85507246,62,64.98550725,0.773673314,6485.536232,0.153400822,2.122000974,78429.82609,4.213696849,1.756328572,108052.3188,0.589835076,2.530001886,114537.8551,0.743235898,1.06E-06,2.91E-05,3.51E-06,0.000633624,4.57E-06,0.000662731,0.101449275,0.275362319,0.376811594,3.285714286,0.23015873,0.326530612,1.285714286,0.714285714,-0.102040816
450.txt,-0.473701994,143,0.406779661,0.033898305,0,0.033898305,0.06779661,0,1.016949153,0.033898305,0.033898305,1.050847458,1.457627119,0,15.76271186,11.62711864,11.62711864,0,0,0,2.728489071,163748.9322,4.95993357,0.03964714,14561.38983,0.190949995,0.03964714,14561.38983,0.190949995,0,0,1.97E-06,0.000130922,1.97E-06,0.000130922,0,0.101694915,0.101694915,3.5,0.253703704,0.25,0.333333333,0.333333333,-0.944444444
451.txt,0.610318885,149,0.310344828,0.034482759,0,0.034482759,0.068965517,0,1.068965517,0.034482759,0.034482759,1.103448276,1.413793103,0,12.27586207,53.48275862,53.48275862,0,0,0,3.460021497,188051.7069,5.031292132,0.318825277,77820.5,0.213844732,0.318825277,77820.5,0.213844732,0,0,1.06E-06,0.000490099,1.06E-06,0.000490099,0,0.068965517,0.068965517,2.333333333,0.1375,-0.611111111,0.333333333,0.333333333,-0.611111111
452.txt,-0.041920098,189,0.383561644,0.178082192,0,0.178082192,0,0,1,0.178082192,0.178082192,1.178082192,1.561643836,0,12.52054795,235.0821918,235.0821918,0,0,0,2.203834482,173952.1507,4.758220495,0.437413646,344135.411,1.060898559,0.437413646,344135.411,1.060898559,0,0,2.88E-05,0.002795596,2.88E-05,0.002795596,0,0.438356164,0.438356164,3.625,0.291666667,0.203125,1.375,0.770833333,-0.328125
453.txt,-0.541326378,179,0.4,0.128571429,0,0.128571429,0.028571429,0,1,0.128571429,0.128571429,1.128571429,1.528571429,0,22.75714286,61.37142857,61.37142857,0,0,0,4.832778935,236401.9,4.989794272,0.607089385,99456.64286,0.692408926,0.607089385,99456.64286,0.692408926,0,0,1.57E-05,0.000752577,1.57E-05,0.000752577,0,0.342857143,0.342857143,3.428571429,0.242857143,0.06122449,1.142857143,0.642857143,-0.408163265
454.txt,-1.051905603,175,0.205479452,0.082191781,0,0.082191781,0.01369863,0,0.97260274,0.082191781,0.082191781,1.054794521,1.260273973,0,14.06849315,167.260274,167.260274,0,0,0,1.119512042,83204.93151,4.517262504,0.34601022,293212.6986,0.532869981,0.34601022,293212.6986,0.532869981,0,0,3.25E-06,0.001934273,3.25E-06,0.001934273,0,0.123287671,0.123287671,1.875,0.0875,-0.640625,0.75,0.75,-0.78125
455.txt,0.857926832,182,0.287671233,0.082191781,0,0.082191781,0.01369863,0,0.95890411,0.095890411,0.095890411,1.054794521,1.342465753,0,12.56164384,88.15068493,88.15068493,0,0,0,1.343603124,202599.7397,4.755057199,0.565495265,149296.5342,0.57738086,0.565495265,149296.5342,0.57738086,0,0,2.86E-06,0.000907881,2.86E-06,0.000907881,0,0.164383562,0.164383562,3.25,0.254166667,-0.46875,0.875,0.625,-0.515625
456.txt,-1.292569679,148,0.438596491,0.035087719,0,0.035087719,0,0,1,0.035087719,0.035087719,1.035087719,1.473684211,0,9.403508772,46.24561404,46.24561404,0,0,0,0.386864597,125906.2807,4.386695931,0.203647411,80439.82456,0.218279722,0.203647411,80439.82456,0.218279722,0,0,1.07E-06,0.000544773,1.07E-06,0.000544773,0,0.035087719,0.035087719,3.333333333,0.254761905,-0.111111111,0.333333333,0.333333333,-0.611111111
457.txt,-0.033183437,156,0.378787879,0.106060606,0,0.106060606,0,0,0.984848485,0.106060606,0.106060606,1.090909091,1.46969697,0,10.93939394,174.3030303,174.3030303,0,0,0,5.646441873,151563.5606,4.650186536,2.106926164,278944.6061,0.664548693,2.106926164,278944.6061,0.664548693,0,0,6.90E-06,0.001895987,6.90E-06,0.001895987,0,0.257575758,0.257575758,2.714285714,0.180952381,-0.326530612,0.857142857,0.523809524,-0.448979592
458.txt,-0.134892994,153,0.395833333,0.104166667,0,0.104166667,0,0,1,0.104166667,0.104166667,1.104166667,1.5,0,17.8125,80,80,0,0,0,0.520833333,182294.6042,4.865006672,1.02999476,144157.0417,0.62200859,1.02999476,144157.0417,0.62200859,0,0,3.98E-06,0.00085612,3.98E-06,0.00085612,0,0.25,0.25,3.6,0.27,-0.08,1,0.6,-0.2
460.txt,-0.130374529,155,0.264150943,0.037735849,0,0.037735849,0.018867925,0,1.018867925,0.037735849,0.037735849,1.056603774,1.320754717,0,8.603773585,9.547169811,9.547169811,0,0,0,3.035516093,314402.8113,5.072233548,1.116130747,27170.24528,0.221031253,1.116130747,27170.24528,0.221031253,0,0,7.06E-07,7.87E-05,7.06E-07,7.87E-05,0,0.075471698,0.075471698,3,0.238888889,-0.166666667,0.333333333,0.333333333,-0.611111111
